,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
287,UPI-M K RETAIL COMPANY-MKRETAILCOMPANY.41329700@HDFCBANK-HDFC0000001-323531764621-UPI,175.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
293,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-323793612056-UPI,194.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
294,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-324082490714-GROCERY,407.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
301,UPI-MIHIR KIRAN PARANJAP-MIHIRKPARANJAPE@OKICICI-ICIC0000338-324360226643-MOCHA CHOCO CHIP,348.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
312,UPI-M K RETAIL COMPANY-MKRETAILCOMPANY.41329663@HDFCBANK-HDFC0000001-361354743319-UPI,192.5,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
323,UPI-HEISETASSE BEVERAGES-PINELABS.1419691@ICICI-ICIC0DC0099-325022108846-MOCHA CHOCO CHIP,349.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
326,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-361715182183-UPI,273.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
327,UPI-ADYAR ANANDA BHAVAN -A2BKARNATAKA@YBL-YESB0YBLUPI-325118727473-PAYMENT FOR 500076,350.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
336,UPI-TATA STARBUCKS LIMIT-TATASTARBUCKSLIMITED.4112201724580301@HDFCBANK-HDFC0000001-325654909992-UPI,399.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
341,UPI-SWIGGY-SWIGGY.STORES@AXISBANK-UTIB0000100-325834132822-SWIGGY ORDER ID 15,303.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
346,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-326271503688-DEBIT MONEY USING,249.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
347,UPI-SWIGGY-SWIGGY.STORES@AXISBANK-UTIB0000100-326230729250-SWIGGY ORDER ID 15,136.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
350,UPI-HEISETASSE BEVERAGES-PINELABS.1419694@ICICI-ICIC0DC0099-326360364056-MEDIUM DRINK,349.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
352,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-326585092098-DEBIT MONEY USING,177.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
353,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-326594712611-DEBIT MONEY USING,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
358,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-363456542308-DEBIT MONEY USING,179.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
362,UPI-HEISETASSE BEVERAGES-PINELABS.1419694@ICICI-ICIC0DC0099-327042614131-DRINK,349.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
366,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-327108730695-LAYS,100.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
373,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-327259815920-GROCERY,196.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
380,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-327453440023-DEBIT MONEY USING,1192.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
381,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-364092319980-PAYMENT FOR SWIGGY,103.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
382,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-327592411962-PAYMENT FOR SWIGGY,103.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
395,UPI-MIHIR KIRAN PARANJAP-MIHIRKPARANJAPE@OKICICI-ICIC0000338-328022418768-HOT CHOCOLATE,160.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
405,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-328333170933-VANILLA MILKSHAKE,352.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
409,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-328470780848-UPI,215.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
435,UPI-HEISETASSE BEVERAGES-PINELABS.1419692@ICICI-ICIC0DC0099-329816543307-UPI,534.01,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
452,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-330304279274-CHEWING GUM,10.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
466,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-330887846719-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
476,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-331231716921-UPI,60.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
479,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-331367318196-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
494,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-331977341140-APPLE JUICE,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
498,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-332043942098-PAYMENT FOR SWIGGY,514.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
499,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-332028386754-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
506,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-332354801101-DEBIT MONEY USING,243.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
507,UPI-SWIGGYINSTAMART-SWIGGYINSTAMART@YESPAY-YESB0YESUPI-368979895740-DEBIT MONEY USING,266.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
